Pair ID,Original Terms,Inclusive Terms,Original Terms (Tamil),Corrected Translation(Inclusive Terms)
1,ballboy,ball person,ஆண் பந்து வீச்சாளர்,பந்து எடுப்பவர்
2,ballboys,ball people,ஆண் பந்து வீச்சாளர்கள்,பந்து எடுப்பவர்கள்
3,batboy,bat person,ஆண் மட்டையாளர்,மட்டை உதவியாளர்
4,batboys,bat people,ஆண் மட்டையாளர்கள்,மட்டை உதவியாளர்கள்
5,bellboy,bellhop,பெல்பாய் / விடுதி ஊழியன்,விடுதி ஊழியர்
6,bellboys,bellhops,பெல்பாய்ஸ்,விடுதி ஊழியர்கள்
7,boyband,band,பாய்பேண்ட் / ஆண் இசைக்குழு,இசைக்குழு
8,boybands,bands,பாய்பேண்ட்ஸ்,இசைக்குழுக்கள்
9,boyfriend,partner,தோழன்,துணைவர் / இணையர்
10,boyfriends,partners,தோழர்கள்,துணைவர்கள் / இணையர்கள்
11,boyish,childish,சிறுவன் / சிறுபிள்ளைத்தனம்,குழந்தைத்தனம்
12,boyishly,childishly,சிறுபிள்ளைத்தனமாக,குழந்தைத்தனமாக
13,boyism,childism,ஆண்மை,குழந்தைத்தனம்
14,boyisms,childisms,சிறுவர்கள்,குழந்தைத்தனங்கள்
15,boyscout,scout,சிறுவர்கள்,சாரணர்
16,boyscouts,scouts,சிறுவன் சாரணர் / ஆண் சாரணர்,சாரணர்கள்
17,boytoy,toy,பைடோய்,பொம்மை
18,boytoys,toys,சிறுவர்கள்,பொம்மைகள்
19,busboy,restaurant attendant,பஸ்பாய்,உணவக உதவியாளர்
20,busboys,restaurant attendants,பஸ்பாய்ஸ்,உணவக உதவியாளர்கள்
21,callboy,sex worker,கால்பாய்,பாலியல் தொழிலாளி
22,callboys,sex workers,கால்பாய்ஸ்,பாலியல் தொழிலாளர்கள்
23,copyboy,junior newspaper worker,நகல் பாய்,இளநிலை செய்தித்தாள் பணியாளர்
24,copyboys,junior newspaper workers,நகல் பாய்ஸ்,இளநிலை செய்தித்தாள் பணியாளர்கள்
25,cowboy,cow herder,கவ்பாய்,மாடு மேய்ப்பவர்
26,cowboys,cow herders,மாடுபிடி வீரர்கள்,மாடு மேய்ப்பவர்கள்
27,doughboy,foot soldier,மாவை பையன்,காலாட்படை வீரர்
28,doughboys,foot soldiers,மாவைச் சிறுவர்கள்,காலாட்படை வீரர்கள்
29,fanboy,fan,ரசிகர்,ரசிகர்
30,fanboys,fans,ரசிகர்கள்,ரசிகர்கள்
31,farmboy,farm worker,பண்ணைக்காரன்,பண்ணைத் தொழிலாளி
32,farmboys,farm workers,பண்ணை சிறுவர்கள்,பண்ணைத் தொழிலாளர்கள்
33,femboy,effeminate person,பெண் குழந்தை,பெண்மை இயல்புடைய நபர்
34,femboys,effeminate people,பெண் குழந்தைகள்,பெண்மை இயல்புடைய நபர்கள்
35,fisherboy,young fisher,மீனவர்,இளம் மீனவர்
36,fisherboys,young fishers,மீனவர்கள்,இளம் மீனவர்கள்
37,fratboy,fraternity member,ஃபிராட் பையன்,சகோதரத்துவ உறுப்பினர்
38,fratboys,fraternity members,ஃபிராட் பையன்கள்,சகோதரத்துவ உறுப்பினர்கள்
39,headboy,student leader,தலைவன்,மாணவர் தலைவர்
40,headboys,student leaders,தலையாட்டிகள்,மாணவர் தலைவர்கள்
41,homeboy,fellow member,வீட்டு பையன்,சக உறுப்பினர்
42,homeboys,fellow members,வீட்டு சிறுவர்கள்,சக உறுப்பினர்கள்
43,houseboy,domestic worker,வீட்டு பையன்,வீட்டுப் பணியாளர்
44,houseboys,domestic workers,வீட்டு சிறுவர்கள்,வீட்டுப் பணியாளர்கள்
45,ladyboy,genderqueer person,பெண்பிள்ளை,பல்வகை பாலினத்தவர்
46,ladyboys,genderqueer people,பெண்பிள்ளைகள்,பல்வகை பாலினத்தவர்கள்
47,nancyboy,nancy,நான்சிபாய்,ஓரின சேர்க்கையாளர்
48,nancyboys,nancies,நான்சி பையன்கள்,ஓரின சேர்க்கையாளர்கள்
49,newsboy,newspaper delivery person,செய்தியாளர்,செய்தித்தாள் விநியோகிப்பவர்
50,newsboys,newspaper delivery people,செய்தியாளர்கள்,செய்தித்தாள் விநியோகிப்பவர்கள்
51,paperboy,newspaper delivery person,முதலில்,செய்தித்தாள் விநியோகிப்பவர்
52,paperboys,newspaper delivery people,காகித பையன்கள்,செய்தித்தாள் விநியோகிப்பவர்கள்
53,playboy,player,விளையாட்டுப்பிள்ளை,களியாட்டக்காரர்
54,playboys,players,விளையாட்டு வீரர்கள்,களியாட்டக்காரர்கள்
55,plowboy,plower,உழவன்,உழுபவர்
56,plowboys,plowers,உழவர்கள்,உழுபவர்கள்
57,tomboy,boisterous child,டாம்பாய்,சுறுசுறுப்பான குழந்தை
58,tomboys,boisterous children,டாம்பாய்கள்,சுறுசுறுப்பான குழந்தைகள்
59,toyboy,toy,பொம்மை பையன்,பொம்மை
60,toyboys,toys,பொம்மைகள்,பொம்மைகள்
61,babygirl,baby,பெண் குழந்தை,குழந்தை
62,babygirls,babies,பெண்குழந்தைகள்,குழந்தைகள்
63,ballgirl,ball person,பந்து பெண்,பந்து எடுப்பவர்
64,ballgirls,ball people,பந்து பெண்கள்,பந்து எடுப்பவர்கள்
65,bargirl,bartender,பார் பெண்,மதுக்கடைப் பணியாளர்
66,bargirls,bartenders,பார்கிர்லஸ்,மதுக்கடைப் பணியாளர்கள்
67,callgirl,sex worker,பெண் அழைக்க,பாலியல் தொழிலாளி
68,callgirls,sex workers,பெண்களை அழைக்கவும்,பாலியல் தொழிலாளர்கள்
69,cavegirl,caveperson,குகைப் பெண்,குகைவாசி
70,cavegirls,cavepeople,குகைப் பெண்கள்,குகைவாசிகள்
71,cowgirl,cow herder,மாட்டுப் பெண்,மாடு மேய்ப்பவர்
72,cowgirls,cow herders,மாட்டுப் பெண்கள்,மாடு மேய்ப்பவர்கள்
73,fangirl,fan,பெண் பறவை,ரசிகர்
74,fangirls,fans,பெண் பறவைகள்,ரசிகர்கள்
75,farmgirl,farm worker,பண்ணை பெண்,பண்ணைத் தொழிலாளி
76,farmgirls,farm workers,பண்ணை பெண்கள்,பண்ணைத் தொழிலாளர்கள்
77,girldom,feminine sphere,பெண்குழந்தை,பெண்மைச் சூழல்
78,girldoms,feminine spheres,பெண் குழந்தைகள்,பெண்மைச் சூழல்கள்
79,girlfag,woman attracted to gay men,பெண் குழந்தை,ஓரின ஆண் சேர்க்கையாளர்களால் ஈர்க்கப்படும் பெண்
80,girlfags,women attracted to gay men,பெண்குழந்தைகள்,ஓரின ஆண் சேர்க்கையாளர்களால் ஈர்க்கப்படும் பெண்கள்
81,girlfight,fight,பெண் சண்டை,சண்டை
82,girlfights,fights,பெண் சண்டைகள்,சண்டைகள்
83,girlfriend,partner,காதலி,துணைவர் / இணையர்
84,girlfriends,partners,தோழிகள்,துணைவர்கள் / இணையர்கள்
85,girlification,feminization,பெண்மை,பெண்மைப்படுத்தல்
86,girlifications,feminizations,பெண்மைகள்,பெண்மைப்படுத்தல்கள்
87,girliness,femininity,பெண்மை,பெண்மை
88,girlinesses,femininities,பெண்மைகள்,பெண்மைகள்
89,girlish,feminine,பெண்மை,பெண்பால்
90,girlishly,childishly,பெண்மையாக,குழந்தைத்தனமாக
91,girllove,love,பெண்காதல்,அன்பு
92,girlloves,loves,காதலிகள்,அன்பு
93,girlpower,power,பெண் சக்தி,சக்தி
94,girlpowers,powers,பெண் சக்திகள்,சக்திகள்
95,papergirl,newspaper delivery person,காகிதப் பெண்,செய்தித்தாள் விநியோகிப்பவர்
96,papergirls,newspaper delivery people,காகித பெண்கள்,செய்தித்தாள் விநியோகிப்பவர்கள்
97,playgirl,player,விளையாட்டுப் பெண்,களியாட்டக்காரர்
98,playgirls,players,விளையாட்டுப் பெண்கள்,களியாட்டக்காரர்கள்
99,showgirl,performer,காட்சிப்பெண்,நிகழ்த்துபவர் / ஆடுபவர்
100,showgirls,performers,காட்சிப்பெண்கள்,நிகழ்த்துபவர்கள் / ஆடுபவர்கள்
101,slavegirl,slave,அடிமைப் பெண்,அடிமை
102,slavegirls,slaves,அடிமைப் பெண்கள்,அடிமைகள்
103,snowgirl,snowperson,பனிப்பெண்,பனி உருவம்
104,snowgirls,snowpeople,பனிப்பெண்கள்,பனி உருவங்கள்
105,tomgirl,timid child,டாம்கேர்ள்,கூச்ச சுபாவமுள்ள குழந்தை
106,tomgirls,timid children,டாம்கேர்ள்ஸ்,கூச்ச சுபாவமுள்ள குழந்தைகள்
107,adman,advertiser,அட்மேன்,விளம்பரதாரர்
108,admen,advertisers,நிர்வாகி,விளம்பரதாரர்கள்
109,almsman,medical social worker,அன்னதானம் செய்பவர்,மருத்துவ சமூக சேவகர்
110,almsmen,medical social workers,பிச்சைக்காரர்கள்,மருத்துவ சமூக சேவகர்கள்
111,ambulanceman,emergency medical technician,ஆம்புலன்ஸ் மனிதன்,அவசர மருத்துவ தொழில்நுட்பவியலாளர்
112,ambulancemen,emergency medical technicians,ஆம்புலன்ஸ்,அவசர மருத்துவ தொழில்நுட்பவியலாளர்கள்
113,anchorman,anchorperson,நங்கூரம் செய்பவர்,தொகுப்பாளர்
114,anchormen,anchorpeople,நங்கூரமிட்டவர்கள்,தொகுப்பாளர்கள்
115,artilleryman,cannoneer,பீரங்கி வீரர்,பீரங்கியாளர்
116,artillerymen,cannoneers,பீரங்கிகள்,பீரங்கியாளர்கள்
117,assemblyman,assembly member,சட்டமன்ற உறுப்பினர்,சட்டமன்ற உறுப்பினர்
118,assemblymen,assembly members,சட்டமன்ற உறுப்பினர்கள்,சட்டமன்ற உறுப்பினர்கள்
119,assman,assperson,சீரற்ற,கேட்பவர்
120,assmen,asspeople,ஆசாமிகள்,ஆட்கள்
121,backwoodsman,explorer,பின்மரக்காட்டுக்காரர்,ஆய்வாளர்
122,backwoodsmen,explorers,முதுகுமரத்துக்காரர்கள்,ஆய்வாளர்கள்
123,bagman,travelling salesperson,இருந்தாலும்,பயண விற்பனையாளர்
124,bagmen,travelling salespeople,பைக்காரர்கள்,பயண விற்பனையாளர்கள்
125,bargeman,barge operator,வாணிபவன்,படகு இயக்குபவர்
126,bargemen,barge operators,வாணிபவர்கள்,படகு இயக்குபவர்கள்
127,barman,bartender,பார்மேன்,மதுக்கடைப் பணியாளர்
128,barmen,bartenders,மார்பு,மதுக்கடைப் பணியாளர்கள்
129,baseman,baseperson,அடிப்படை வீரர்,தளம் காப்பவர் (விளையாட்டு)
130,basemen,basepeople,அடித்தள வீரர்கள்,தளம் காப்பவர்கள் (விளையாட்டு)
131,batsman,batter,பேட்ஸ்மேன்,மட்டையாளர்
132,batsmen,batters,பேட்ஸ்மேன்கள்,மட்டையாளர்கள்
133,bellman,bellhop,மணிமேகலை,விடுதி ஊழியர்
134,bellmen,bellhops,மணிமேகலை,விடுதி ஊழியர்கள்
135,binman,garbage collector,பின்மேன்,குப்பை சேகரிப்பவர்
136,binmen,garbage collectors,பின்மேன்கள்,குப்பை சேகரிப்பவர்கள்
137,bluesman,bluesperson,புளூஸ்மேன்,புளூஸ் இசைக்கலைஞர்
138,bluesmen,bluespeople,ப்ளூஸ்மேன்,புளூஸ் இசைக்கலைஞர்கள்
139,boatman,boater,படகோட்டி,படகோட்டி
140,boatmen,boaters,படகோட்டிகள்,படகோட்டிகள்
141,bogeyman,monster,போகிமான்,அரக்கர் / அசுரர்
142,bogeymen,monsters,போகிகள்,அரக்கர்கள்/ அசுரர்கள்
143,bondman,slave,கொத்தடிமை,அடிமை
144,bondmen,slaves,கொத்தடிமைகள்,அடிமைகள்
145,bondsman,slave,பத்திரக்காரர்,அடிமை
146,bondsmen,slaves,பத்திரக்காரர்கள்,அடிமைகள்
147,boogieman,monster,போகி மனிதன்,அரக்கர் / அசுரர்
148,boogiemen,monsters,போகிகள்,அரக்கர்கள்/ அசுரர்கள்
149,bowman,archer,வில்லாளி,வில்லாளர்
150,bowmen,archers,வில்லாளிகள்,வில்லாளர்கள்
151,bushman,indigenous person,புஷ்மேன்,பழங்குடி நபர்
152,bushmen,indigenous people,புதர் மனிதர்கள்,பழங்குடி மக்கள்
153,businessman,businessperson,தொழிலதிபர்,வணிகர் / தொழிலதிபர்
154,businessmen,businesspeople,வணிகர்கள்,வணிகர்கள் / தொழிலதிபர்கள்
155,busman,bus driver,பஸ்மேன்,பேருந்து ஓட்டுநர்
156,busmen,bus drivers,பேருந்து பணியாளர்கள்,பேருந்து ஓட்டுநர்கள்
157,cabman,cabdriver,வண்டிக்காரன்,வாடகை வண்டி ஓட்டுநர்
158,cabmen,cabdrivers,வண்டிக்காரர்கள்,வாடகை வண்டி ஓட்டுநர்கள்
159,cameraman,cameraperson,ஒளிப்பதிவாளர்,ஒளிப்பதிவாளர்
160,cameramen,camerapeople,ஒளிப்பதிவாளர்கள்,ஒளிப்பதிவாளர்கள்
161,cavalryman,trooper,குதிரைப்படை வீரர்,குதிரைப்படை வீரர்
162,cavalrymen,troopers,குதிரைப்படை வீரர்கள்,குதிரைப்படை வீரர்கள்
163,caveman,caveperson,குகைமனிதன்,குகைவாசி
164,cavemen,cavepeople,குகைவாசிகள்,குகைவாசிகள்
165,centerman,center,மையக்காரர்,மைய ஆட்டக்காரர்
166,centermen,centers,மையக்காரர்கள்,மைய ஆட்டக்காரர்கள்
167,centreman,centre,மையக்காரர்,மைய ஆட்டக்காரர்
168,centremen,centres,மையக்காரர்கள்,மைய ஆட்டக்காரர்கள்
169,chessman,chess figure,சதுரங்க வீரர்,சதுரங்கக் காய்
170,chessmen,chess figures,சதுரங்க வீரர்கள்,சதுரங்கக் காய்கள்
171,churchman,cleric,தேவாலயக்காரர்,மதகுரு / திருச்சபையினர்
172,churchmen,clerics,தேவாலயக்காரர்கள்,மதகுருமார்கள் / திருச்சபையினர்
173,clansman,clan member,குலத்தவர்,குல உறுப்பினர்
174,clansmen,clan members,குலத்தவர்கள்,குல உறுப்பினர்கள்
175,classman,classmate,வகுப்பாசிரியர்,வகுப்புத் தோழர்
176,classmen,classmates,வகுப்பினர்,வகுப்புத் தோழர்கள்
177,coachman,coach driver,பயிற்சியாளர்,பயண வண்டி ஓட்டுநர்
178,coachmen,coach drivers,பயிற்சியாளர்கள்,பயண வண்டி ஓட்டுநர்கள்
179,cocksman,sexually talented person,சேவல் வீரர்,பாலியல் திறன் கொண்ட நபர்
180,cocksmen,sexually talented people,சேவல் வீரர்கள்,பாலியல் திறன் கொண்ட நபர்கள்
181,con-man,con artist,கான்-மேன்,ஏமாற்றுக்காரர் / மோசடிப் பேர்வழி 
182,con-men,con artists,ஆண்களுடன்,ஏமாற்றுக்காரர்கள் / மோசடிப் பேர்வழிகள்
183,congressman,congressperson,காங்கிரஸ்காரர்,நாடாளுமன்ற உறுப்பினர்
184,congressmen,congresspeople,காங்கிரஸ்காரர்கள்,நாடாளுமன்ற உறுப்பினர்கள்
185,conman,con artist,மோசடி செய்பவர்,ஏமாற்றுக்காரர் / மோசடிப் பேர்வழி 
186,conmen,con artists,conmen,ஏமாற்றுக்காரர்கள் / மோசடிப் பேர்வழிகள்
187,cornerman,second,மூலைக்காரர்,உதவியாளர் (குத்துச்சண்டை)
188,cornermen,seconds,மூலைக்காரர்கள்,உதவியாளர்கள் (குத்துச்சண்டை)
189,cornishman,Cornish person,கார்னிஷ்மேன்,கார்னிஷ் நாட்டவர்
190,cornishmen,Cornish people,கார்னிஷ்மேன்,கார்னிஷ் மக்கள்
191,corpsman,medical assistant,படைவீரன்,மருத்துவ உதவியாளர்
192,corpsmen,medical assistants,படைவீரர்கள்,மருத்துவ உதவியாளர்கள்
193,counterman,counterperson,கவுண்டர்மேன்,எதிர் நபர்
194,countermen,counterpeople,எதிர் ஆட்கள்,எதிர் மக்கள்
195,craftsman,craftsperson,கைவினைஞர்,கைவினைஞர்
196,craftsmen,craftspeople,கைவினைஞர்கள்,கைவினைஞர்கள்
197,crewman,crew member,பணியாளர்,குழு உறுப்பினர்
198,crewmen,crew members,பணியாளர்கள்,குழு உறுப்பினர்கள்
199,crossbowman,arbalist,குறுக்கு வில்லாளி,குறுக்கு வில் வீரர்
200,crossbowmen,arbalists,குறுக்கு வில்லாளர்கள்,குறுக்கு வில் வீரர்கள்
201,cutman,medical attendant,வெட்டுபவர்,மருத்துவ உதவியாளர் (விளையாட்டு)
202,cutmen,medical attendants,வெட்டுபவர்கள்,மருத்துவ உதவியாளர்கள் (விளையாட்டு)
203,dairyman,dairy worker,பால் வியாபாரி,பால் பண்ணைத் தொழிலாளி
204,dairymen,dairy workers,பால் வியாபாரிகள்,பால் பண்ணைத் தொழிலாளிகள்
205,deadman,corpse,இறந்தவன்,பிணம் / சடலம்
206,deadmen,corpses,இறந்தவர்கள்,பிணங்கள் / சடலங்கள்
207,defenceman,defender,பாதுகாவலர்,தடுப்பாட்ட வீரர்
208,defencemen,defenders,பாதுகாப்பு வீரர்கள்,தடுப்பாட்ட வீரர்கள்
209,defenseman,defender,பாதுகாவலர்,தடுப்பாட்ட வீரர்
210,defensemen,defenders,பாதுகாப்பு வீரர்கள்,தடுப்பாட்ட வீரர்கள்
211,deskman,desk sergeant,மேசைக்காரர்,பணி மேசை அதிகாரி
212,deskmen,desk sergeants,மேசையில்,பணி மேசை அதிகாரிகள்
213,discman,portable CD player,டிஸ்க்மேன்,கையடக்க சிடி பிளேயர்
214,discmen,portable CD players,டிஸ்க்மேன்,கையடக்க சிடி பிளேயர்கள்
215,draftsman,draftsperson,வரைவாளர்,வரைவாளர்
216,draftsmen,draftspeople,வரைவாளர்கள்,வரைவாளர்கள்
217,draughtsman,draughtsperson,வரைவாளர்,வரைவாளர்
218,draughtsmen,draughtspeople,வரைவாளர்கள்,வரைவாளர்கள்
219,dutchman,netherlander,டச்சுக்காரர்,நெதர்லாந்து நாட்டவர்
220,dutchmen,netherlanders,டச்சுக்காரர்கள்,நெதர்லாந்து நாட்டவர்
221,everyman,ordinary person,ஒவ்வொரு மனிதனும்,சாதாரண நபர்
222,everymen,ordinary people,எல்லோரும்,சாதாரண மக்கள்
223,expressman,expressperson,எக்ஸ்பிரஸ்மேன்,விரைவு அஞ்சல் பணியாளர்
224,expressmen,expresspeople,வெளிப்படுத்தும் ஆண்கள்,விரைவு அஞ்சல் பணியாளர்கள்
225,fireman,firefighter,தீயணைப்பு வீரர்,தீயணைப்பு வீரர்
226,firemen,firefighters,தீயணைப்பு வீரர்கள்,தீயணைப்பு வீரர்கள்
227,fisherman,fisher,மீனவர்,மீனவர்
228,fishermen,fishers,மீனவர்கள்,மீனவர்கள்
229,flagman,traffic guard,கொடிமரம்,கொடி அசைப்பவர் / போக்குவரத்து காவலர்
230,flagmen,traffic guards,கொடி,கொடி அசைப்பவர்கள் / போக்குவரத்து காவலர்கள்
231,footman,servant,கால்வீரன்,வேலையாள் / பணியாளர்
232,footmen,servants,கால்வீரர்கள்,வேலையாட்கள் / பணியாளர்கள்
233,foreman,foreperson,தலைவன்,மேற்பார்வையாளர்
234,foremen,forepeople,முன்னோர்கள்,மேற்பார்வையாளர்கள்
235,freedman,freedperson,விடுதலையானவர்,விடுவிக்கப்பட்டவர்
236,freedmen,freedpeople,விடுவிக்கப்பட்டவர்கள்,விடுவிக்கப்பட்டவர்கள்
237,freeman,freeperson,சுதந்திரமானவன்,சுதந்திரமான நபர்
238,freemen,freepeople,சுதந்திரமானவர்கள்,சுதந்திரமான மக்கள்
239,frenchman,French person,பிரெஞ்சுக்காரர்,பிரெஞ்சு நாட்டவர்
240,frenchmen,French people,பிரெஞ்சுக்காரர்கள்,பிரெஞ்சு மக்கள்
241,freshman,first-year student,புதியவர்,முதலாம் ஆண்டு மாணவர்
242,freshmen,first-year students,புதியவர்கள்,முதலாம் ஆண்டு மாணவர்கள்
243,frogman,diver,தவளை மனிதன்,மூழ்கு நீச்சல் வீரர்
244,frogmen,divers,தவளைகள்,மூழ்கு நீச்சல் வீரர்கள்
245,frontiersman,explorer,எல்லையில் இருப்பவர்,ஆய்வாளர்
246,frontiersmen,explorers,எல்லைப்புறவாசிகள்,ஆய்வாளர்கள்
247,frontman,frontperson,முன்னோடி,முன்னணியாளர் / முகப்பு நபர்
248,frontmen,frontpeople,முன்னோடி,முன்னணியாளர்கள் / முகப்பு நபர்கள்
249,garageman,mechanic,கேரேஜ்மேன்,பழுது நீக்குபவர்
250,garagemen,mechanics,கேரேஜ்மேன்கள்,பழுது நீக்குபவர்கள்
251,gateman,gatekeeper,கேட்மேன்,வாயில் காப்பாளர்
252,gatemen,gatekeepers,வாயில்காரர்கள்,வாயில் காப்பாளர்கள்
253,gentleman,refined person,ஜென்டில்மேன்,பண்பட்ட நபர்
254,gentlemans,refined people,ஜென்டில்மேன்கள்,பண்பட்ட மக்கள்
255,gleeman,minstrel,gleeman,இசைக் கவிஞர் / பாணர்
256,gleemen,minstrels,பளபளப்பு,இசைக் கவிஞர்கள் / பாணர்கள்
257,glovesman,boxer,கையுறைக்காரர்,குத்துச்சண்டை வீரர்
